2020-08-11 20:14:50,450 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2998293 数据获取中...
2020-08-11 20:14:50,954 | model_koubei.py | INFO  | 3788 博越 口碑：2998293 数据保存成功!
2020-08-11 20:14:50,954 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2996078 数据获取中...
2020-08-11 20:14:51,334 | model_koubei.py | INFO  | 3788 博越 口碑：2996078 数据保存成功!
2020-08-11 20:14:51,334 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2989950 数据获取中...
2020-08-11 20:14:51,764 | model_koubei.py | INFO  | 3788 博越 口碑：2989950 数据保存成功!
2020-08-11 20:14:51,764 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2976689 数据获取中...
2020-08-11 20:14:51,989 | model_koubei.py | INFO  | 3788 博越 口碑：2976689 数据保存成功!
2020-08-11 20:14:51,989 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2851755 数据获取中...
2020-08-11 20:14:52,445 | model_koubei.py | INFO  | 3788 博越 口碑：2851755 数据保存成功!
2020-08-11 20:14:52,445 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2952692 数据获取中...
2020-08-11 20:14:52,815 | model_koubei.py | INFO  | 3788 博越 口碑：2952692 数据保存成功!
2020-08-11 20:14:52,815 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2951043 数据获取中...
2020-08-11 20:14:53,206 | model_koubei.py | INFO  | 3788 博越 口碑：2951043 数据保存成功!
2020-08-11 20:14:53,207 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2948075 数据获取中...
2020-08-11 20:14:53,507 | model_koubei.py | INFO  | 3788 博越 口碑：2948075 数据保存成功!
2020-08-11 20:14:53,508 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2947565 数据获取中...
2020-08-11 20:14:53,900 | model_koubei.py | INFO  | 3788 博越 口碑：2947565 数据保存成功!
2020-08-11 20:14:53,901 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2946923 数据获取中...
2020-08-11 20:14:54,297 | model_koubei.py | INFO  | 3788 博越 口碑：2946923 数据保存成功!
2020-08-11 20:14:54,297 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2944103 数据获取中...
2020-08-11 20:14:54,599 | model_koubei.py | INFO  | 3788 博越 口碑：2944103 数据保存成功!
2020-08-11 20:14:54,599 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2944008 数据获取中...
2020-08-11 20:14:54,995 | model_koubei.py | INFO  | 3788 博越 口碑：2944008 数据保存成功!
2020-08-11 20:14:54,995 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2943945 数据获取中...
2020-08-11 20:14:55,287 | model_koubei.py | INFO  | 3788 博越 口碑：2943945 数据保存成功!
2020-08-11 20:14:55,288 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2940132 数据获取中...
2020-08-11 20:14:55,664 | model_koubei.py | INFO  | 3788 博越 口碑：2940132 数据保存成功!
2020-08-11 20:14:55,665 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2937761 数据获取中...
2020-08-11 20:14:56,031 | model_koubei.py | INFO  | 3788 博越 口碑：2937761 数据保存成功!
2020-08-11 20:14:56,031 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2935755 数据获取中...
2020-08-11 20:14:56,310 | model_koubei.py | INFO  | 3788 博越 口碑：2935755 数据保存成功!
2020-08-11 20:14:56,311 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2935578 数据获取中...
2020-08-11 20:14:56,603 | model_koubei.py | INFO  | 3788 博越 口碑：2935578 数据保存成功!
2020-08-11 20:14:56,604 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2935027 数据获取中...
2020-08-11 20:14:56,918 | model_koubei.py | INFO  | 3788 博越 口碑：2935027 数据保存成功!
2020-08-11 20:14:56,918 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2932689 数据获取中...
2020-08-11 20:14:57,247 | model_koubei.py | INFO  | 3788 博越 口碑：2932689 数据保存成功!
2020-08-11 20:14:57,247 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2932561 数据获取中...
2020-08-11 20:14:57,650 | model_koubei.py | INFO  | 3788 博越 口碑：2932561 数据保存成功!
2020-08-11 20:14:57,650 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2931843 数据获取中...
2020-08-11 20:14:57,970 | model_koubei.py | INFO  | 3788 博越 口碑：2931843 数据保存成功!
2020-08-11 20:14:57,970 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2931644 数据获取中...
2020-08-11 20:14:58,206 | model_koubei.py | INFO  | 3788 博越 口碑：2931644 数据保存成功!
2020-08-11 20:14:58,206 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2931551 数据获取中...
2020-08-11 20:14:58,525 | model_koubei.py | INFO  | 3788 博越 口碑：2931551 数据保存成功!
2020-08-11 20:14:58,526 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2931518 数据获取中...
2020-08-11 20:14:58,853 | model_koubei.py | INFO  | 3788 博越 口碑：2931518 数据保存成功!
2020-08-11 20:14:58,854 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2931383 数据获取中...
2020-08-11 20:14:59,257 | model_koubei.py | INFO  | 3788 博越 口碑：2931383 数据保存成功!
2020-08-11 20:14:59,257 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2930989 数据获取中...
2020-08-11 20:14:59,453 | model_koubei.py | INFO  | 3788 博越 口碑：2930989 数据保存成功!
