行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
安县,商服用地,辽宁大道东侧（界牌镇竹林村）,其他商服用地,商务服务业,1.094143,挂牌出让,40,2462.0000,下限:0.00上限:2.50,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9bce3125-6f3d-4fb2-adb3-960bec193d41,2020-08-26 13:26:02
隆昌县,隆地挂（2017）09号,界市镇葛藤村第1、2、3、5小组,批发零售用地,零售业,1.218801,挂牌出让,40,780.6573,下限:1.00上限:1.40,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ee461372-ce1e-4cd5-b0d1-a38eefe8e47c,2020-08-26 13:26:05
广安市本级,枣山园区GC2016-80号,枣山园区迎宾大道西侧，紧邻万城首座项目,其他普通商品住房用地,房地产业,2.899200,拍卖出让,70,9250.0000,下限:1.00上限:2.00,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7b9f195a-90e1-4969-9301-99fa6c09c739,2020-08-26 13:26:07
邛崃市,邛窑大道东侧、凤凰栖南侧,邛崃市文君街道办邛窑大道东侧、凤凰栖南侧,其他商服用地,商务服务业,0.878612,挂牌出让,40,948.9024,下限:0.00上限:1.60,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d88aebb6-8b6e-4899-939e-bfebf75f874f,2020-08-26 13:26:10
安岳县,物流仓储用地,安岳县石桥铺镇烽火村,仓储用地,仓储业,10.420149,挂牌出让,50,16300.0000,下限:1.00上限:1.50,2018年01月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b5405a61-7e11-4155-ab6f-23d529a5e940,2020-08-26 13:26:13
宜宾市本级,商业用地,宜宾市南岸大地坡A6-8地块,其他商服用地,零售业,1.652300,挂牌出让,40,11896.5600,下限:0.00上限:2.00,2018年01月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d65f3c73-dfd1-422b-96e0-b454950d2524,2020-08-26 13:26:15
宜宾市本级,物流仓储用地,宜宾市岷江新区起步区北部片区E08-02-1地块,仓储用地,仓储业,1.496900,挂牌出让,50,1167.5820,下限:1.00上限:0.00,2018年01月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1d06140e-2cfc-4aea-967d-3bad442623b5,2020-08-26 13:26:18
彭州市,曹雄,白鹿镇回水村2社,其他商服用地,文化艺术业,1.203699,挂牌出让,40,668.0017,下限:上限:1.00,2018年01月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9fb03fc9-2602-4d2c-b38e-5f9a9ea73186,2020-08-26 13:26:20
彭山县,四川和晟达电子科技有限公司,成眉石化园区,工业用地,制造业,0.894044,挂牌出让,50,161.0000,下限:0.60上限:0.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=23f49322-eb1f-4f86-8dd1-b7f5dbef78db,2020-08-26 13:26:23
彭山县,当当比特物流（眉山）有限公司,青龙镇，通济堰以东,工业用地,交通运输、仓储和邮政业,20.270119,挂牌出让,50,2737.0000,下限:0.90上限:0.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7d3fbfe4-aeab-40bc-bb48-d5c7477f2549,2020-08-26 13:26:26
广安市本级,枣山园区GC2017-112号,枣山园区西溪大道与仰圣大道交汇处,其他普通商品住房用地,房地产业,7.799900,拍卖出让,其他普通商品住房用地70年;批发零售用地40年;,39500.0000,下限:1.00上限:2.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=854ceb14-623a-434f-83bf-3c2ecf1fe0d1,2020-08-26 13:26:29
彭山县,四川和晟达电子科技有限公司,成眉石化园区,工业用地,制造业,1.880771,挂牌出让,50,339.0000,下限:0.60上限:0.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=abfcc767-48c9-46a2-bd0a-45c1a3cfec09,2020-08-26 13:26:31
双流县,四川贵通建设集团有限公司,双流区黄甲街道双华社区7组,工业用地,房地产业,1.923130,挂牌出让,20,429.8203,下限:0.90上限:0.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f8e85ea7-c998-4308-8095-0043ef17c93c,2020-08-26 13:26:33
双流县,成都市计量检定测试院,成都市双流区公兴街道双塘村2、7、9组,工业用地,国家机构,9.354969,挂牌出让,20,2118.9000,下限:1.50上限:3.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fd5a1a50-ef27-46a3-9d8a-a0622de260b7,2020-08-26 13:26:36
德阳市本级,德阳军民融合产业园项目,市区洪湖路与祁连山路交汇处西南角,工业用地,通讯设备、计算机及其他电子设备制造业,7.203500,挂牌出让,50,1469.5140,下限:0.70上限:0.00,2018年01月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1e917cb4-548f-4f2a-999d-405424933ced,2020-08-26 13:26:38
纳溪区,新乐镇竹产业园商务金融用地,泸州市纳溪区新乐镇大河村4社,商务金融用地,房地产业,0.940490,拍卖出让,40,1142.6994,下限:0.00上限:2.50,2018年01月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f718e0c7-b44e-4a1b-8d9c-6b48aee9b983,2020-08-26 13:26:41
广安市本级,GC2017-41号,协兴镇四新村,批发零售用地,批发业,6.173700,挂牌出让,40,4216.6400,下限:1.00上限:1.00,2018年01月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7f2f7b10-46a6-4621-a442-c296b468e44c,2020-08-26 13:26:43
岳池县,顾县YCP-2016-9号地块房地产开发项目·雷钢（岳池县瑞鑫房地产开发有限公司）,岳池县顾县镇新东街以东与文化街以南交叉处（详见勘测定界图）,中低价位、中小套型普通商品住房用地,房地产业,0.609600,拍卖出让,商业40年、住宅70年,600.0000,下限:1.00上限:2.10,2018年01月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b1397d80-653a-4297-a4bd-0a041540fac6,2020-08-26 13:26:46
南部县,2018-拍09号,南部县河东镇北登观村,其他普通商品住房用地,其他金融服务,2.854000,拍卖出让,70,2525.7900,下限:1.00上限:2.50,2018年01月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18594433-a84c-4158-a1fd-df63df505c5b,2020-08-26 13:26:48
南部县,2018-拍05,南部县南隆镇向阳村,其他普通商品住房用地,其他金融服务,6.680667,拍卖出让,70,15933.3900,下限:1.00上限:3.00,2018年01月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7038bacd-f9bc-40e2-8b92-e4afc5bba71b,2020-08-26 13:26:51
南部县,2018-拍07号,南部县河东镇北登观村,其他普通商品住房用地,其他金融服务,6.976000,拍卖出让,70,6173.7600,下限:1.00上限:2.50,2018年01月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b43e46f9-6914-41db-8ddf-253a5e095062,2020-08-26 13:26:53
成都市本级,泰康医院,天府新区华阳街道二江寺村五、六、十一组,其他商服用地,商务服务业,9.625472,挂牌出让,40,20843.4200,下限:上限:3.00,2018年01月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0031cdb3-573b-4b5a-9e1a-a4887f0b222b,2020-08-26 13:26:56
