行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
富顺县,北湖未来城旁住宅用地,富顺县省道S437以南、吉祥路以西、北湖公园以东、北湖未来城以北（地块二）,其他普通商品住房用地,房地产业,6.291000,拍卖出让,70,40100.0000,下限:1.00上限:3.20,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5dbd07e8-f926-4fff-b4fd-7b5aa1d229f0,2020-08-25 16:04:17
色达县,洛若镇5-1,洛若大道、沙玛路,其他商服用地,基层群众自治组织,0.340357,挂牌出让,40,1023.0000,下限:上限:1.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7bf39c2e-6ab7-4e26-b19d-dbf45dd9e407,2020-08-25 16:04:19
双流县,成都统联信息科技有限公司,成都市双流区公兴街道青云寺村3组,工业用地,计算机服务业,2.549519,挂牌出让,20,445.2686,下限:1.20上限:0.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9fc7eec3-abc3-4dc6-a701-c1653b6cbf06,2020-08-25 16:04:22
南部县,2017-拍13号,王家镇槽房坝村5、7社,其他普通商品住房用地,房地产业,0.370600,拍卖出让,70,417.0000,下限:1.00上限:3.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a5fb41db-4a85-4755-9b89-cc2ba1a6718d,2020-08-25 16:04:24
双流县,成都欧派智能家居有限公司,成都市双流区公兴街道双塘社区4组、7组、9组,工业用地,家具制造业,22.297597,挂牌出让,50,5351.4240,下限:1.20上限:0.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b4b654a5-789c-4635-a28e-9d993ae6f96c,2020-08-25 16:04:27
色达县,洛若镇2-4,嘉郎祥巴街、洛若大道、规划道路,其他商服用地,基层群众自治组织,0.292712,挂牌出让,40,660.0000,下限:上限:1.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b79b3248-79d3-43b4-b3cb-52d720d3cdf5,2020-08-25 16:04:30
色达县,洛若镇5-2,和谐路、沙玛路、泥曲路,其他商服用地,基层群众自治组织,0.396172,挂牌出让,40,1189.0000,下限:上限:1.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c55ae5f7-c897-43be-80c1-4b1c5cb2f9db,2020-08-25 16:04:32
三台县,中国民俗农庄民俗乐园项目,立新镇高棚村5组,其他商服用地,娱乐业,1.003291,挂牌出让,40,487.0000,下限:0.00上限:0.46,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d453e125-3b08-4d6b-b10a-3aa26b8eb9f0,2020-08-25 16:04:35
色达县,洛若镇6-1,泥曲路、542台、规划广场,其他商服用地,基层群众自治组织,0.120814,挂牌出让,40,363.0000,下限:上限:1.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d8a80a39-673a-40d9-bcc3-33f25a5540b9,2020-08-25 16:04:37
南充市本级,四川鸿通春天房地产开发有限公司用地,荆溪片区拟出让L形地块,其他普通商品住房用地,房地产业,3.625400,拍卖出让,70,32139.1710,下限:1.00上限:2.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=35acf8ac-289a-4cbe-8f69-0c8ecf5c18c1,2020-08-25 16:04:40
南充市本级,四川鸿通春天房地产开发有限公司用地,清泉寺片区拟出让Ac-6地块,其他普通商品住房用地,房地产业,1.153400,拍卖出让,70,12577.8270,下限:1.00上限:2.40,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5d0680ee-d625-40f6-ab4c-7cef169e6768,2020-08-25 16:04:42
南充市本级,四川鸿通春天房地产开发有限公司用地,清泉寺片区拟出让Ac-3地块,其他普通商品住房用地,房地产业,0.571800,拍卖出让,70,4820.2740,下限:1.00上限:2.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c2b3fb38-a7e5-4366-bb4a-e41927bb0132,2020-08-25 16:04:45
三台县,生产五金工具、汽车零部件制造项目,潼川镇顺江村2组（黄家坝）,工业用地,专用设备制造业,2.296112,挂牌出让,50,284.0000,下限:1.00上限:3.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d3cdccd6-3d8e-46bc-89d4-55bcb195dbce,2020-08-25 16:04:48
南充市本级,北京古城房地产开发有限公司用地,潆华工业园拟出让YEB地块,其他普通商品住房用地,房地产业,4.517700,拍卖出让,70,56584.1925,下限:1.00上限:2.30,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ee4ea9c2-4a28-4a56-935c-85b8baaee0d8,2020-08-25 16:04:51
