行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
峨边彝族自治县,峨边国有2019-02号地块开发建设项目,峨边彝族自治县黑竹沟镇,其他商服用地,商务服务业,9.400000,挂牌出让,40,16920.0000,下限:上限:0.40,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=791d79d0-1500-4f60-b16b-9621106a8139,2020-08-26 16:56:24
射洪县,洪新邑商品房71.52亩,县经开区涪江大道南、洪州大道东,城镇住宅用地,房地产业,4.768100,拍卖出让,70,30038.4000,下限:1.00上限:2.40,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3b8e2d0-ad73-4110-8ead-eee985dfb940,2020-08-26 16:56:26
西充县,南西田园新城2019-N-4等10宗地出让事项的批复,西充县南西田园新城规划横二路侧,城镇住宅用地,房地产业,6.725930,拍卖出让,70,9230.0000,下限:1.00上限:1.60,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=23ce2b59-9fb6-4433-a728-753e174a8bbb,2020-08-26 16:56:29
西充县,南西田园新城2019-N-4等10宗地出让事项的批复,西充县南西田园新城规划横一路侧,城镇住宅用地,房地产业,4.692232,拍卖出让,70,6442.0000,下限:1.00上限:1.60,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7af41e30-18e2-49d2-aa43-0d06e9125309,2020-08-26 16:56:32
三台县,商业开发,潼川镇曲江社区居委会,其他商服用地,商务服务业,1.633755,挂牌出让,40,5088.0000,下限:上限:1.00,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c8dd618c-ca5c-466e-90b8-c08a129b0247,2020-08-26 16:56:34
三台县,商业开发,潼川镇曲江社区,其他商服用地,商务服务业,0.561387,挂牌出让,40,1749.0000,下限:上限:1.00,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cb466cad-2154-41a4-89f0-c5a1c8e9433d,2020-08-26 16:56:37
三台县,商业开发,潼川镇曲江社区居委会,其他商服用地,房地产业,1.146473,挂牌出让,40,3572.0000,下限:上限:1.00,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e73cec9c-35ee-4abd-9a9f-49e0dff4ada4,2020-08-26 16:56:40
渠县,渠城东区五期QCD2019B07地块,渠县天星镇五井村,城镇住宅用地,房地产业,7.076800,拍卖出让,城镇住宅用地70年;其他商服用地40年;,20800.0000,下限:1.00上限:2.70,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ead97925-b5f8-4a4b-ad34-c1dfa289f8fb,2020-08-26 16:56:43
西充县,四川西鸥置业有限公司,西充县南西田园新城规划横一路侧,城镇住宅用地,房地产业,5.202507,拍卖出让,70,7150.0000,下限:1.00上限:1.60,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fece431a-ef65-4e5e-b3d6-1b89dda87a16,2020-08-26 16:56:46
仁寿县,四川袍商实业有限公司,仁寿县视高镇天府大道西侧,其他商服用地,房地产业,3.300986,拍卖出让,40,9910.0000,下限:上限:2.97,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=03875988-b84b-48e4-8ca5-a2f70b7b9ad5,2020-08-26 16:56:48
仁寿县,四川袍商实业有限公司,仁寿县视高镇天府大道西侧,城镇住宅用地,房地产业,4.189220,拍卖出让,70,12570.0000,下限:1.00上限:2.60,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=464404cc-d5be-46e0-ab45-3a89cab2d9bd,2020-08-26 16:56:51
渠县,渠城东区五期QCD2019B01-B地块,渠县天星镇五井村,城镇住宅用地,房地产业,4.348000,拍卖出让,城镇住宅用地70年;其他商服用地40年;,12980.0000,下限:1.00上限:2.20,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5415b5c8-a8b4-42a6-aab6-7a9f3ceb5881,2020-08-26 16:56:54
北川羌族自治县,四川绵阳兴合益新材料科技有限公司项目,香泉乡香泉工业园B-07号地块,工业用地,其它,0.814232,挂牌出让,50,68.4000,下限:0.70上限:0.00,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=988bde7a-c648-4bc1-aeb8-faabc34c8776,2020-08-26 16:56:58
仁寿县,四川联创考拉科技产业有限公司,仁寿县视高镇环天府新区快速通道南侧，视高大道东侧,其他商服用地,房地产业,4.170038,拍卖出让,40,12510.0000,下限:上限:2.50,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9abe4c79-42a8-4b92-bc37-17abc8da8337,2020-08-26 16:57:01
